"","empty","CITY","STATE","ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type","kff_url","price21","price30","price40","price50","price60"
"186",94,"CASCADE VALLEY","WA","98837",4332,14.9,16.2,10.5,12.7,12.4,11.7,12,6.8,2.9,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=wa&zip=98837&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",377,428,482,673,1023
"187",951,"CRANDON","WI","54520",1713,12.7,11.6,11.9,10.8,9.7,13.9,15.1,9,5.2,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=wi&zip=54520&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",451,512,576,805,1224
"188",961,"MAINE","WI","54401",2613,10.1,11.9,9.5,11.5,12.1,15.6,16.3,9.6,3.6,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=wi&zip=54401&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",420,477,537,750,1139
"189",971,"MADISON","WV","25130",2913,10,13,10,11.8,12.9,12.2,16.8,9,4.5,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=wv&zip=25130&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",733,832,937,1310,1991
"190",981,"WELCH","WV","24801",3590,4.6,5.8,15,27.1,19.7,12.4,9.2,4,2.2,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=wv&zip=24801&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",733,832,937,1310,1991
"191",99,"LYMAN","WY","82937",2135,19.2,15.6,10.8,14.7,11.2,8.7,13.1,4.7,1.9,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=wy&zip=82937&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",690,783,882,1233,1873
"192",1001,"FORT WASHAKIE","WY","82514",1650,19,19.7,13.5,12.5,10.1,9.6,7.4,5,3.1,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=wy&zip=82514&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",690,783,882,1233,1873
"193",317,"NEW YORK","NY","10001",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ny&zip=10001&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",880,880,880,880,880
"194",354,"BUFFALO","NY","14225",278349,12.9,13.6,17.8,14.8,10.5,11.6,10.9,5.2,2.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ny&zip=14225&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",560,560,560,560,560
"195",540,"BURLINGTON","VT","05401",44743,7,15.8,31.4,12.9,8.2,8.6,8.4,5.1,2.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=vt&zip=05401&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",1277,1277,1277,1277,1277
"196",NA,"BENNINGTON","VT","05201",8795,10.7,11.2,10.5,12.7,10.7,14.2,14.2,9.8,6.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=vt&zip=05201&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",1277,1277,1277,1277,1277
"197",541,"SOUTH BURLINGTON","VT","05401",20292,9.8,9.8,14.3,15.2,12.4,12.8,12.1,8.1,5.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=vt&zip=05401&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",1277,1277,1277,1277,1277
"198",67,"DOLGEVILLE","NY","13329",2042,11.4,13.6,9.3,12.1,12.4,10.1,16.2,9.1,5.7,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ny&zip=13329&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",661,661,661,661,661
"199",68,"PALMYRA","NY","14522",3305,10.6,12.8,13.3,12.7,12.4,12.9,14.3,8,3.1,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ny&zip=14522&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",690,690,690,690,690
"200",91,"MILTON","VT","05446",3804,10.7,12.9,11.7,13.7,11.9,15.7,13.6,7.2,2.5,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=vt&zip=05446&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",1277,1277,1277,1277,1277
"201",921,"PROCTOR","VT","05765",1565,10.6,12,10.5,12.3,12,14.7,15.8,8.8,3.3,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=vt&zip=05765&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=individual&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",1277,1277,1277,1277,1277
"202",181,"LOUISVILLE/JEFFERSON COUNTY METRO GOVERNMENT (BALANCE)","KY","66547",386884,12.2,12.9,12.3,13.1,12.8,13.2,12.1,7.3,3.8,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ks&zip=66547&locale=Pottawatomie&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=64&adults%5B0%5D%5Btobacco%5D=0&child-count=0",1300,1300,1300,1300,1300
