"","empty","CITY","STATE","ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type","kff_url","price21","price30","price40","price50","price60"
"37",200,"PORTLAND","ME","04101",68408,8.7,8.4,18,18.4,11.9,12.1,11.7,6.9,4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=me&zip=04101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",408,463,522,729,1108
"38",203,"LEWISTON","ME","04240",37121,11.9,14.2,13.5,13,11.4,12.7,11,7.7,4.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=me&zip=04240&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",446,506,570,796,1209
"39",204,"BALTIMORE","MD","21233",585708,10.9,11.2,17.7,16.7,10.7,12.1,11.3,6.2,3.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=md&zip=21233&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",286,324,365,511,776
"40",216,"COLUMBIA","MD","21044",104681,11.8,12.6,13.1,14.6,13,13.1,11,7.5,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=md&zip=21044&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",286,324,365,511,776
"41",217,"BOSTON","MA","02114",675647,8.4,10.2,27.1,17.4,9.8,10,8.7,5.4,3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ma&zip=02114&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",379,412,446,558,758
"42",225,"WORCESTER","MA","01613",206518,10.8,13.5,19,14.2,11.3,12,10.3,5.6,3.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ma&zip=01613&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",392,426,461,576,783
"43",226,"DETROIT","MI","48233",639111,13.9,13.9,15.1,13.2,11.8,12.2,11.2,6,2.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mi&zip=48233&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",282,320,360,503,765
"44",241,"GRAND RAPIDS","MI","49501",198917,12.3,12.2,22,15.9,10,9.8,9.3,5,3.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mi&zip=49501&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",311,353,397,555,843
"45",245,"MINNEAPOLIS","MN","55401",429954,10.8,10.9,22.6,18.6,11.5,10.1,8.8,4.7,1.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mn&zip=55401&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",247,280,315,440,669
"46",254,"ST. PAUL","MN","55101",311527,13.4,13.7,17.8,16,11.1,10.9,9.6,5,2.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mn&zip=55101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",247,280,315,440,669
"47",255,"JACKSON","MS","39201",153701,12.1,13.9,15.5,13,11.4,12.2,12.3,6.4,3.1,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ms&zip=39201&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",380,431,486,679,1031
"48",257,"GULFPORT","MS","39501",72926,12.9,13.2,13.8,13.7,11.6,12.2,12,7.1,3.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ms&zip=39501&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",385,437,492,687,1044
"49",258,"KANSAS CITY","MO","64108",508090,12.5,12.2,16.6,15.8,11.9,11.8,10.5,5.8,2.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mo&zip=64108&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",370,419,472,660,1003
"50",269,"ST. LOUIS","MO","63101",301578,10.2,10.2,19.1,17.3,11.4,11.8,11.7,5.6,2.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mo&zip=63101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",330,375,422,589,896
"51",270,"BILLINGS","MT","59101",117116,12.3,12.5,13.7,14.5,11.2,11.4,12.1,7.8,4.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mt&zip=59101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",472,536,604,844,1282
"52",276,"MISSOULA","MT","59801",73489,10.1,11.1,20.2,16.6,11.7,9.8,10.5,6.7,3.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=mt&zip=59801&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",419,476,536,748,1137
"53",277,"OMAHA","NE","68106",486051,13.4,13.9,15.6,14.6,11.4,11.5,10.5,5.9,3.1,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ne&zip=68106&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",439,499,562,785,1193
"54",287,"LINCOLN","NE","68501",291082,12.3,14.2,17.7,14.2,11.3,10.4,10.3,6.3,3.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ne&zip=68501&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",459,520,586,819,1244
"55",288,"LAS VEGAS","NV","89106",641903,12.2,13.5,13,13.9,13.2,12.8,10.9,7.2,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nv&zip=89106&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",298,339,381,533,810
"56",296,"HENDERSON","NV","89002",317610,10.5,12.3,11,12.9,13.4,13.6,12.7,9.9,3.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nv&zip=89002&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",298,339,381,533,810
"57",297,"MANCHESTER","NH","03103",115644,10.4,10.6,17.2,15.7,11.4,13.3,11.5,6.3,3.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nh&zip=03103&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",254,288,324,453,689
"58",298,"NASHUA","NH","03060",91322,10.1,11.3,13.6,14.3,12.2,14.6,12.5,7.2,4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nh&zip=03060&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",254,288,324,453,689
"59",299,"NEWARK","NJ","07102",311549,13.5,14.6,15.2,15.9,13.6,12.2,8.5,4.4,2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nj&zip=07102&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",382,433,488,682,1036
"60",309,"JERSEY CITY","NJ","07302",292449,12,9.2,19.1,22.6,12.5,10.3,8,4.4,2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nj&zip=07302&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",382,433,488,682,1036
"61",312,"ALBUQUERQUE","NM","87101",564559,10.8,12.9,14.4,14.4,12,12.3,11.9,7.6,3.8,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nm&zip=87101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",352,400,450,629,956
"62",316,"LAS CRUCES","NM","88001",111385,12.2,13.7,16.4,13.6,10.5,10.4,11.1,7.8,4.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nm&zip=88001&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",407,462,521,727,1105
"63",368,"CHARLOTTE","NC","28204",874579,12.3,13.1,16.9,16.6,13.4,11.7,8.8,4.9,2.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nc&zip=28204&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",379,430,484,677,1028
"64",381,"RALEIGH","NC","27601",467665,11.2,12.8,19.3,16.1,12.9,11.2,8.6,5.1,2.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nc&zip=27601&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",375,425,479,669,1017
"65",391,"FARGO","ND","58102",125990,12,12,21.8,15.6,10.6,9.9,9.7,5.2,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nd&zip=58102&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",352,399,449,628,955
"66",396,"BISMARCK","ND","58501",73622,12.5,11.8,14,14.5,11.2,11,12.1,7.5,5.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=nd&zip=58501&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",352,399,449,628,955
"67",397,"COLUMBUS","OH","43216",905748,12.8,11.9,20.7,16.7,11.5,10.5,9,4.7,2.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=oh&zip=43216&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",368,418,471,658,1000
"68",409,"CLEVELAND","OH","44101",372624,12.2,12,16.3,14.3,10.8,13.1,12.3,5.9,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=oh&zip=44101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",318,361,407,568,864
"69",418,"OKLAHOMA CITY","OK","73125",681054,13.7,13.7,14.8,15.4,12.2,11.2,10.3,5.9,3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ok&zip=73125&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",351,398,448,627,952
"70",422,"TULSA","OK","74103",413066,13,13.3,15.1,14.2,11.7,11.4,11,6.5,3.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ok&zip=74103&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",363,412,464,648,985
"71",429,"PORTLAND","OR","97208",652503,9.3,9.8,15.7,19.4,14.9,11.6,10.3,6.2,2.8,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=or&zip=97208&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",365,414,466,652,990
"72",434,"EUGENE","OR","97401",176654,8.8,11.9,20,13.8,11.5,10.3,11.4,8.2,4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=or&zip=97401&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",412,467,526,735,1117
"73",435,"PHILADELPHIA","PA","19104",1603797,11.2,11.9,18,16.3,11.1,11.4,10.6,6.1,3.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=pa&zip=19104&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",284,323,363,508,772
"74",464,"PITTSBURGH","PA","15205",302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=pa&zip=15205&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",319,362,408,570,867
"75",486,"PROVIDENCE","RI","02904",190934,11.3,15.6,21.1,15.1,10.7,10.3,8.6,4.6,2.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ri&zip=02904&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",332,377,425,594,902
"76",489,"CRANSTON","RI","02905",82934,9.8,11.9,12.7,14.1,12.3,14,13.2,7.7,4.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ri&zip=02905&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",332,377,425,594,902
"77",490,"CHARLESTON","SC","29401",150227,10.8,9.4,19.2,17.2,11.3,10.6,10.8,7.3,3.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=sc&zip=29401&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",313,355,400,559,849
"78",491,"COLUMBIA","SC","29201",136632,9,17.7,23.4,13.3,9.8,9.8,9.1,5.4,2.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=sc&zip=29201&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",375,426,479,670,1017
"79",502,"SIOUX FALLS","SD","57104",192517,14.1,12.7,14.8,15.4,11.7,11.2,10.4,6.2,3.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=sd&zip=57104&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",369,419,471,659,1001
"80",506,"RAPID CITY","SD","57701",74703,11.9,12.6,14.9,14,10.8,10.9,12.1,7.6,5.2,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=sd&zip=57701&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",578,655,738,1031,1567
"81",507,"NASHVILLE","TN","37201",689447,11.6,11.1,19.4,18,11.7,10.8,9.5,5.2,2.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=tn&zip=37201&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",430,488,549,768,1166
"82",508,"MEMPHIS","TN","38101",633104,13.3,13.3,15.8,14.3,11.7,11.7,11.3,5.9,2.9,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=tn&zip=38101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",378,429,483,675,1026
"83",524,"HOUSTON","TX","77002",2304580,13.2,13.1,16.3,16.5,12.6,11.1,9.4,5.2,2.6,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=tx&zip=77002&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",342,389,438,612,929
"84",529,"SAN ANTONIO","TX","78205",1434625,12.6,14.1,15.9,14.4,12.1,11.8,10,6,3.1,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=tx&zip=78205&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",383,434,489,683,1039
"85",531,"SALT LAKE CITY","UT","84101",199723,10.1,11.7,23.7,17.3,11.8,9.6,8.5,4.8,2.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ut&zip=84101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",338,470,500,719,1014
"86",539,"WEST VALLEY CITY","UT","84081",140230,15.6,17,15.1,14.8,13.1,10.4,8,4.3,1.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=ut&zip=84081&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",338,470,500,719,1014
"87",542,"VIRGINIA BEACH","VA","23452",459470,11.9,12.5,14.6,15,11.9,12.7,11.3,6.7,3.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=va&zip=23452&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",289,328,369,516,785
"88",545,"CHESAPEAKE","VA","23320",249422,12.6,13.9,12.1,14.4,12.6,13.3,11.7,6.4,3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=va&zip=23320&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",289,328,369,516,785
"89",546,"SEATTLE","WA","98101",737015,8.4,8.6,21.1,21.2,12.9,10.7,9,5.5,2.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wa&zip=98101&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",336,382,430,601,913
"90",553,"SPOKANE","WA","99201",228989,11.8,11.8,15.8,15.1,11.4,11.6,11.7,7,3.7,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wa&zip=99201&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",320,363,409,571,868
"91",558,"CHARLESTON","WV","25301",48864,10.1,11.3,11.9,13,12.4,13,14.7,8.6,4.8,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wv&zip=25301&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",733,832,937,1310,1991
"92",561,"HUNTINGTON","WV","25704",46842,9.6,12.7,18.4,12.9,11.2,11,11.8,8,4.4,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wv&zip=25704&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",788,894,1006,1406,2137
"93",562,"MILWAUKEE","WI","53203",577222,13.7,15,17.7,14.7,11.2,10.9,9.6,4.7,2.5,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wi&zip=53203&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",360,409,460,643,977
"94",570,"MADISON","WI","53714",269840,9.6,11.8,24.7,16.1,10.2,9.5,9.3,5.7,3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wi&zip=53714&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",338,383,432,603,917
"95",584,"CHEYENNE","WY","82009",65132,12.3,12.4,13.5,15.1,11.2,11.8,11.8,7.6,4.3,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wy&zip=82009&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",642,729,821,1147,1743
"96",587,"CASPER","WY","82601",59038,13.2,14,12.8,14.5,11.7,11.2,11.9,6.6,3.8,"Urban","https://www.kff.org/interactive/subsidy-calculator/#state=wy&zip=82601&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",671,762,858,1198,1821
"97",110,"LAZY MOUNTAIN","AK","99645",1506,11,15.6,10.1,12.4,11.6,13,15.6,7.5,3.1,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ak&zip=99645&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",834,946,1065,1489,2262
"98",210,"HOUSTON","AK","99623",1975,12.7,14.2,8.3,14.5,12.1,15.9,14.7,6.5,1,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ak&zip=99623&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",834,946,1065,1489,2262
"99",310,"STEVENSON","AL","35772",1955,13.3,13.8,10.7,10.5,12.6,13.4,13,9,3.5,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=al&zip=35772&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",403,457,514,719,1092
"100",410,"WARRIOR","AL","35180",3224,11.4,12.8,11.4,13.5,11.7,13.5,13.2,8.2,4.2,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=al&zip=35180&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",430,488,549,768,1166
"101",510,"POTTSVILLE","AR","72858",3140,15.6,15.9,12.8,13.6,12.9,11.1,9.5,6.2,2.4,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ar&zip=72858&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",358,406,458,639,972
"102",6,"BALD KNOB","AR","72010",2522,11.4,14.7,11.6,11.1,12,13,12.6,9.6,3.8,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ar&zip=72010&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",358,406,458,639,972
"103",7,"HEBER-OVERGAARD","AZ","85928",2898,8.7,8.9,4.9,5.9,7,13,25.3,20.7,5.6,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=az&zip=85928&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",555,630,709,991,1506
"104",810,"GILA BEND","AZ","85326",1892,17.7,17.7,11.8,10.5,11,12.3,11,5.5,2.7,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=az&zip=85326&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",291,330,371,519,789
"105",9,"PARKSDALE","CA","93638",3234,18.4,20.5,14.1,12.5,11.7,9.6,7.4,4.1,1.7,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ca&zip=93638&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",386,438,493,689,1047
"106",103,"WILLOW CREEK","CA","95573",1720,10,11.6,8.2,13.3,9.6,12.9,19.5,11.3,3.8,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=ca&zip=95573&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",599,679,765,1069,1625
"107",11,"ORCHARD CITY","CO","81410",3142,8.5,12.1,6.3,8.9,10.4,12.5,17.6,15.4,8.2,"Rural","https://www.kff.org/interactive/subsidy-calculator/#state=co&zip=81410&income-type=dollars&income=500%2C000&people=1&alternate-plan-family=&adult-count=1&adults%5B0%5D%5Bage%5D=AGENUM&adults%5B0%5D%5Btobacco%5D=0&child-count=0",406,461,519,725,1101
