"","CITY","STATE","PHYSICAL ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type"
"343","NEW YORK","NY","10019",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"344","NEW YORK","NY","10020",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"345","NEW YORK","NY","10021",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"346","NEW YORK","NY","10022",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"349","NEW YORK","NY","10023",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"350","NEW YORK","NY","10024",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"351","NEW YORK","NY","10025",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"352","NEW YORK","NY","10028",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"353","NEW YORK","NY","10036",8804190,10.8,11.3,16,16.2,12.5,12.4,10.6,6.5,3.7,"Urban"
"354","BUFFALO","NY","14225",278349,12.9,13.6,17.8,14.8,10.5,11.6,10.9,5.2,2.7,"Urban"
"355","BUFFALO","NY","14240",278349,12.9,13.6,17.8,14.8,10.5,11.6,10.9,5.2,2.7,"Urban"
"368","CHARLOTTE","NC","28204",874579,12.3,13.1,16.9,16.6,13.4,11.7,8.8,4.9,2.2,"Urban"
"370","CHARLOTTE","NC","28213",874579,12.3,13.1,16.9,16.6,13.4,11.7,8.8,4.9,2.2,"Urban"
"371","CHARLOTTE","NC","28228",874579,12.3,13.1,16.9,16.6,13.4,11.7,8.8,4.9,2.2,"Urban"
"381","RALEIGH","NC","27601",467665,11.2,12.8,19.3,16.1,12.9,11.2,8.6,5.1,2.7,"Urban"
"384","RALEIGH","NC","27613",467665,11.2,12.8,19.3,16.1,12.9,11.2,8.6,5.1,2.7,"Urban"
"385","RALEIGH","NC","27676",467665,11.2,12.8,19.3,16.1,12.9,11.2,8.6,5.1,2.7,"Urban"
"391","FARGO","ND","58102",125990,12,12,21.8,15.6,10.6,9.9,9.7,5.2,3.3,"Urban"
"396","BISMARCK","ND",NA,73622,12.5,11.8,14,14.5,11.2,11,12.1,7.5,5.4,"Urban"
"397","COLUMBUS","OH","43216",905748,12.8,11.9,20.7,16.7,11.5,10.5,9,4.7,2.3,"Urban"
"398","COLUMBUS","OH","43218",905748,12.8,11.9,20.7,16.7,11.5,10.5,9,4.7,2.3,"Urban"
"409","CLEVELAND","OH","44101",372624,12.2,12,16.3,14.3,10.8,13.1,12.3,5.9,3.3,"Urban"
"418","OKLAHOMA CITY","OK","73125",681054,13.7,13.7,14.8,15.4,12.2,11.2,10.3,5.9,3,"Urban"
"422","TULSA","OK","74103",413066,13,13.3,15.1,14.2,11.7,11.4,11,6.5,3.7,"Urban"
"428","TULSA","OK","74136",413066,13,13.3,15.1,14.2,11.7,11.4,11,6.5,3.7,"Urban"
"429","PORTLAND","OR","97208",652503,9.3,9.8,15.7,19.4,14.9,11.6,10.3,6.2,2.8,"Urban"
"430","PORTLAND","OR","97213",652503,9.3,9.8,15.7,19.4,14.9,11.6,10.3,6.2,2.8,"Urban"
"431","PORTLAND","OR","97230",652503,9.3,9.8,15.7,19.4,14.9,11.6,10.3,6.2,2.8,"Urban"
"434","EUGENE","OR",NA,176654,8.8,11.9,20,13.8,11.5,10.3,11.4,8.2,4,"Urban"
"435","PHILADELPHIA","PA","19104",1603797,11.2,11.9,18,16.3,11.1,11.4,10.6,6.1,3.3,"Urban"
"461","PHILADELPHIA","PA","19105",1603797,11.2,11.9,18,16.3,11.1,11.4,10.6,6.1,3.3,"Urban"
"462","PHILADELPHIA","PA","19176",1603797,11.2,11.9,18,16.3,11.1,11.4,10.6,6.1,3.3,"Urban"
"464","PITTSBURGH","PA","15205",302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,"Urban"
"465","PITTSBURGH","PA","15212",302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,"Urban"
"468","PITTSBURGH","PA","15213",302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,"Urban"
"470","PITTSBURGH","PA","15290",302971,8.4,10.5,24.8,16.1,9.1,9.9,11,6.4,3.7,"Urban"
"486","PROVIDENCE","RI","02904",190934,11.3,15.6,21.1,15.1,10.7,10.3,8.6,4.6,2.6,"Urban"
"489","CRANSTON","RI",NA,82934,9.8,11.9,12.7,14.1,12.3,14,13.2,7.7,4.6,"Urban"
